Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
14/12/2017 11:00,16560,16590.01,16334.26,16569.99,383.29,6314218.72,16473.66
14/12/2017 12:00,16569.99,16748,16500,16639,563.39,9375696.24,16641.65
14/12/2017 13:00,16638.39,16720,16415.93,16511.5,737.41,12220133.43,16571.7
14/12/2017 14:00,16534.95,16534.99,16172.13,16200.08,663.5,10848369.65,16350.3
14/12/2017 15:00,16198.26,16334.26,16011.61,16307.77,905.27,14642711.7,16174.96
14/12/2017 16:00,16307.77,16431.01,16241.18,16363.06,553.95,9058476.99,16352.44
14/12/2017 17:00,16363.06,16535,16285.29,16415,870.72,14339704.6,16468.77
14/12/2017 18:00,16404.27,16600,16286.46,16351.39,835.42,13766994.56,16479.12
14/12/2017 19:00,16351.39,16450,16310,16391.41,652.89,10700809.37,16390.03
14/12/2017 20:00,16421.6,16470,16255,16299.74,394.63,6472325.91,16401.18
14/12/2017 21:00,16299.74,16415.93,16072.73,16329.93,847.77,13775258.71,16248.76
14/12/2017 22:00,16329.91,16459.99,16259.73,16375,336.68,5517276.43,16387.37
14/12/2017 23:00,16375,16415,16213.88,16404.99,396.52,6482888.37,16349.5
15/12/2017 00:00,16404.99,16880,16337.19,16800,1282.04,21402365.84,16693.96
15/12/2017 01:00,16800,16998.29,16694.34,16816.61,986.05,16678127.79,16914.13
15/12/2017 02:00,16816.6,17428.42,16700.01,17220,1539.99,26390081.95,17136.48
15/12/2017 03:00,17245.64,17312.99,16914.6,17049.93,964.91,16547006.6,17148.84
15/12/2017 04:00,17052.43,17207.45,16851.62,17155.3,473.09,8082324.19,17084.27
15/12/2017 05:00,17139.99,17280,17077.3,17150,472.92,8132475.03,17196.33
15/12/2017 06:00,17150,17235,17085,17150,503.17,8639569.37,17170.25
15/12/2017 07:00,17150,17165.46,16811,16811.66,883.81,15040042.85,17017.34
15/12/2017 08:00,16811.21,17170,16680,17170,786.44,13300816.44,16912.79
15/12/2017 09:00,17170,17500,17141.76,17450.11,1005.17,17412899.19,17323.29
15/12/2017 10:00,17450.15,17751.27,17428.42,17556.25,1194.75,21008086.13,17583.65
15/12/2017 11:00,17556.18,17888,17542.98,17853.12,728.32,12916554.27,17734.64
15/12/2017 12:00,17874.98,17934,17700.1,17790.96,655.25,11690475.86,17841.22
15/12/2017 13:00,17808.91,17838,17516.22,17800,1060.6,18739207.74,17668.47
15/12/2017 14:00,17800,17868.51,17603.14,17603.14,749.48,13284099.62,17724.49
15/12/2017 15:00,17619.22,17650,17410.53,17499.9,740.99,12992165.77,17533.64
15/12/2017 16:00,17497.4,17600,17440.76,17544.6,909.94,15975064.53,17556.15
15/12/2017 17:00,17544.6,17602,17470.1,17599.98,754.12,13253818.44,17575.24
15/12/2017 18:00,17599.62,17750,17422.11,17749,845.53,14876770.17,17594.57
15/12/2017 19:00,17749,17799,17515.57,17613.99,478.96,8460696.56,17664.75
15/12/2017 20:00,17601,17698,17547.06,17598.95,349.72,6171865.47,17648.07
15/12/2017 21:00,17599.47,17604.34,17184.4,17399,986.05,17111613.88,17353.73
15/12/2017 22:00,17389.22,17500,17111,17500,453.45,7840564.64,17290.91
15/12/2017 23:00,17478.05,17603.14,17381.41,17471.5,193.65,3390322.44,17507.56
16/12/2017 00:00,17477.98,17500,17396.86,17434.53,170.65,2982123.37,17474.88
16/12/2017 01:00,17434.53,17511.73,17341.72,17469.61,169.53,2957027.76,17442.29
16/12/2017 02:00,17469.54,17501,17366.33,17413.31,175.97,3070378.09,17448.33
16/12/2017 03:00,17413.26,17492.37,17269.99,17295,156.79,2722525.11,17363.97
16/12/2017 04:00,17295,17511.73,17295,17462.17,64.87,1130916.39,17432.88
16/12/2017 05:00,17451.68,17567.88,17443.46,17522.76,127.13,2225379.15,17504.2
16/12/2017 06:00,17522.78,17706.71,17522.71,17706.71,255.01,4494085.36,17623.01
16/12/2017 07:00,17706.65,17819,17646.33,17819,413.76,7357718.44,17782.78
16/12/2017 08:00,17818.97,17839.99,17638.98,17839.99,196.59,3494846.09,17777.18
16/12/2017 09:00,17830.01,17845,17768.17,17844.96,180.71,3221567.78,17827.39
16/12/2017 10:00,17844.99,17895,17691.16,17770,464.96,8270255.94,17787.09
16/12/2017 11:00,17770,17998.78,17722.03,17985,408.08,7306977.06,17905.85
16/12/2017 12:00,17984.98,18019.84,17905.32,18010.88,401.09,7211973.57,17981.05
16/12/2017 13:00,18010.88,18362,18004.78,18362,884.54,16108472,18211.03
16/12/2017 14:00,18365.99,18500,18202,18498.9,494.38,9097813.34,18402.29
16/12/2017 15:00,18498.9,18800,18337,18799.99,702.88,13083190.82,18613.6
16/12/2017 16:00,18788.98,18866.66,18503.37,18769.99,784.47,14650670.02,18675.93
16/12/2017 17:00,18769.9,18860,18595.89,18796.33,436.15,8176987.42,18747.94
16/12/2017 18:00,18796.33,18798.46,18600,18727.47,215.43,4032968.88,18720.49
16/12/2017 19:00,18730,19175,18717.5,19170,910.69,17251181.53,18943.02
16/12/2017 20:00,19175,19264.38,18970.61,19112.38,606.66,11614426.49,19144.86
16/12/2017 21:00,19112.38,19135,18970.61,19100.07,478.33,9121080.4,19068.79
16/12/2017 22:00,19092.29,19189.9,18825,19180.03,591.17,11255746.37,19039.93
16/12/2017 23:00,19148.57,19377,19148.46,19187.78,471.37,9067723.27,19236.87
17/12/2017 00:00,19187.78,19246.99,18970.61,19078.42,321,6135490.04,19113.79
17/12/2017 01:00,19091.74,19162.9,18821.67,18988.33,328.3,6233238.75,18986.55
17/12/2017 02:00,18983,19162.68,18873.91,19074.53,214.46,4087014.99,19057.55
17/12/2017 03:00,19074.53,19249.94,19034.09,19064.21,176.76,3383133.1,19139.93
17/12/2017 04:00,19064.17,19143.61,18970.61,19007.59,143.41,2730150,19037.14
17/12/2017 05:00,19018.35,19288.84,19000,19276,163.65,3137140.02,19170.35
17/12/2017 06:00,19288,19350,19233.9,19335,207.85,4008226.07,19284.59
17/12/2017 07:00,19329.38,19484.98,19326.33,19462.97,463.25,8998349.7,19424.26
17/12/2017 08:00,19479.99,19480,19256.59,19299,319.02,6176457.21,19360.78
17/12/2017 09:00,19299,19434.3,19256.59,19434.3,201.49,3894315.3,19327.22
17/12/2017 10:00,19434.3,19494.73,19305.76,19494.73,245,4763600.17,19443.48
17/12/2017 11:00,19494.67,19546.89,19400.66,19546.88,286.48,5588434.1,19507.48
17/12/2017 12:00,19546.88,19666,19352.87,19377.22,400.51,7825320.97,19538.24
17/12/2017 13:00,19377.21,19644.62,19353.77,19530.01,206.59,4027684.55,19495.6
17/12/2017 14:00,19530,19530.01,19101,19255.58,538.66,10424292.79,19352.26
